VehicleID,CustomerGrade,AuctionPurchaseDate,AuctionPurchaseAmount,AuctionSaleDate,AuctionSaleAmount,VehicleType,Year,Make,Model,Trim,BodyType,AuctionPurchaseOdometer,AutomaticTransmission,DriveType
2179,A,2013-07-18,8640,2015-03-04,5994.56,Truck,2005,Chevrolet,Silverado 1500,LS,Pickup,105416,1,RWD
2657,B,2013-10-18,8825,2015-03-02,6243,Car,2011,Chevrolet,Impala,LS Fleet,Sedan,78646,1,FWD
26154,A,2012-05-10,8585,2015-12-17,1602,Car,2006,Nissan,Altima,2.5 S,Sedan,85519,1,NA
32129,B,2012-05-30,7815,2015-09-15,1912,Car,2006,Chevrolet,Impala,LS,Sedan,124868,1,NA
26727,C,2015-02-26,8365,2015-11-11,5752,Car,2010,Dodge,Avenger,R/T,Sedan,82179,1,FWD
19971,C,2014-04-25,8490,2015-02-26,7302,Car,2009,Ford,Taurus X,SEL,Wagon,90967,1,AWD
25267,B,2014-07-02,9260,2015-07-21,4129.95,Car,2009,Scion,xB,Base,Wagon,85892,1,FWD
22875,A,2012-11-27,10800,2015-04-10,7300,Car,2011,Chevrolet,Impala,LS Fleet,Sedan,45726,1,NA
2892,A,2013-11-29,7040,2015-11-24,2027,Car,2005,Buick,LaCrosse,CXL,Sedan,97145,1,FWD
2785,C,2013-11-08,6230,2015-01-14,5043,Car,2010,Chevrolet,Cobalt,LT,Sedan,75214,1,FWD
2297,C,2013-08-08,9140,2015-06-10,2815,Van,2007,Honda,Odyssey,LX,Mini-Van,98151,1,FWD
30946,B,2013-08-06,3825,2015-04-22,1227,Car,2004,Chrysler,Sebring,Limited,Convertible,89088,1,FWD
13598,C,2012-03-07,8975,2015-04-22,1896.52,SUV,2005,Mitsubishi,Endeavor,LS,SUV,92339,1,NA
16026,C,2013-04-25,8895,2015-06-10,5745,Car,2009,Chevrolet,Impala,LT,Sedan,80920,1,FWD
35598,C,2014-10-29,6800,2015-09-23,3402,SUV,2007,Ford,Escape,Limited,SUV,103560,1,FWD
27842,A,2013-04-03,8340,2015-08-27,1942.11,Car,2008,Volkswagen,New Beetle,S,Hatchback,84962,1,NA
30982,C,2013-08-27,7525,2015-11-19,902,Car,2007,Chrysler,Pacifica,Touring,Wagon,97538,1,FWD
24403,B,2014-01-06,8040,2015-06-03,5856,Car,2006,Cadillac,STS,V6,Sedan,92276,1,RWD
12877,B,2013-05-17,5650,2015-03-16,4355,Car,2006,Chevrolet,Monte Carlo,LT,Coupe,97105,1,FWD
1393,C,2013-01-02,10525,2015-02-27,1068,Car,2011,Mitsubishi,Galant,FE,Sedan,55840,1,NA
