FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
0,350,272,NA,0,NA,NA,1,0
1,222,210,5,1,72,3,1,0
0,192,191,11,0,89,2,1,0
1,155,64,50,0,57,2,1,0
0,116,87,NA,0,NA,NA,1,0
1,202,89,27,0,65,1,400,0
1,239,98,32,2,32,0,60,0
0,12,0,NA,0,NA,NA,1,0
1,190,170,39,1,67,1,400,0
1,179,87,NA,0,NA,NA,120,0
1,274,131,95,0,95,0,400,1
0,125,115,81,0,81,0,400,0
1,377,159,121,0,122,1,1,0
0,372,170,NA,0,NA,NA,400,0
0,142,67,67,0,67,0,400,0
0,113,55,NA,0,NA,NA,1,0
1,137,112,18,2,18,0,400,0
1,133,135,NA,0,NA,NA,1,0
0,191,186,8,1,19,1,400,0
1,322,NA,NA,NA,NA,NA,NA,0
0,340,92,NA,0,NA,NA,400,0
1,23,NA,NA,1,NA,NA,NA,0
0,334,218,31,3,100,2,400,0
0,273,147,26,0,35,2,1,0
0,46,45,NA,0,NA,NA,1,0
0,181,78,21,1,41,2,400,0
0,305,126,NA,0,NA,NA,1,0
0,251,34,NA,2,NA,NA,400,0
0,358,NA,NA,NA,NA,NA,NA,0
0,326,454,39,0,68,0,1,0
0,165,110,NA,0,NA,NA,1,0
1,169,69,NA,1,NA,NA,400,0
0,204,122,28,0,32,1,400,0
0,208,50,NA,0,NA,NA,1,0
1,188,62,NA,0,NA,NA,400,0
0,282,213,99,0,116,1,1,0
0,202,162,NA,0,NA,NA,1,0
1,290,110,32,0,74,2,1,0
1,305,99,99,0,99,0,1,0
0,117,82,22,0,22,1,400,0
0,210,NA,NA,0,NA,NA,NA,0
0,301,207,NA,0,NA,NA,1,0
0,283,90,NA,0,NA,NA,1,0
0,184,185,NA,1,NA,NA,1,0
1,263,121,32,0,74,1,400,0
1,291,140,NA,1,NA,NA,400,0
0,208,109,109,0,109,1,400,0
1,185,183,100,0,100,0,400,0
1,282,121,5,0,31,1,400,0
0,145,88,25,1,39,1,400,0
0,147,109,97,0,97,0,1,0
1,289,43,NA,0,NA,NA,400,0
0,373,53,39,0,39,1,400,0
1,56,27,8,0,11,1,400,0
0,292,161,125,0,125,1,1,0
0,169,151,124,0,124,0,1,0
1,151,147,NA,0,NA,NA,400,0
1,61,56,NA,1,NA,NA,400,0
0,293,136,58,0,84,2,1,0
0,317,77,64,1,64,0,1,0
1,137,122,56,0,87,1,1,0
1,56,6,6,0,6,1,1,0
0,154,127,NA,0,NA,NA,120,0
0,382,102,27,1,72,1,30,0
0,150,120,55,0,65,1,400,0
0,238,73,NA,0,NA,NA,90,0
0,7,1,NA,0,NA,NA,1,0
1,12,12,NA,0,NA,NA,1,0
0,187,148,NA,1,NA,NA,400,0
0,265,93,37,2,65,1,400,0
1,213,74,74,0,74,0,400,0
1,303,164,57,1,79,1,400,0
1,357,124,84,0,84,0,400,0
0,278,132,7,1,55,1,400,0
1,174,174,5,0,43,8,1,0
0,93,84,15,0,52,1,400,1
1,90,82,NA,0,NA,NA,1,0
1,310,126,28,0,67,1,400,0
0,192,98,NA,1,NA,NA,400,0
0,336,NA,NA,NA,NA,NA,NA,0
1,137,161,9,1,36,4,1,0
0,272,89,23,0,56,0,400,0
1,113,73,15,0,38,2,400,0
1,153,NA,NA,0,NA,NA,NA,0
0,382,172,148,0,153,2,1,0
0,167,136,NA,0,NA,NA,400,0
1,174,144,47,0,47,1,120,0
0,190,181,NA,1,NA,NA,400,0
1,102,76,50,0,50,1,1,0
0,309,205,16,0,73,4,400,0
1,382,214,12,0,20,0,60,0
0,122,124,NA,0,NA,NA,400,0
1,134,71,NA,0,NA,NA,400,0
0,211,92,NA,0,NA,NA,400,0
0,242,296,117,0,117,1,400,0
1,285,248,88,1,116,2,1,0
0,111,93,12,1,42,2,1,0
0,9,8,NA,0,NA,NA,1,0
0,288,80,NA,0,NA,NA,400,0
1,352,97,NA,1,NA,NA,30,0
1,252,33,NA,0,NA,NA,1,0
0,155,136,NA,2,NA,NA,400,0
1,20,18,NA,0,NA,NA,1,0
0,282,220,75,1,89,0,1,0
0,83,NA,NA,0,NA,NA,NA,0
0,35,19,NA,0,NA,NA,1,0
0,327,155,NA,0,NA,NA,1,0
0,338,121,66,0,86,2,60,0
0,178,162,73,0,90,0,1,0
0,57,NA,NA,NA,NA,NA,NA,0
1,154,26,2,2,8,2,1,0
1,174,151,75,0,86,0,400,0
1,87,77,68,0,68,0,400,0
1,342,31,NA,0,NA,NA,30,0
1,122,92,NA,0,NA,NA,400,1
0,210,72,72,0,72,0,1,0
1,88,76,34,0,44,1,400,0
1,72,65,NA,0,NA,NA,30,0
0,12,9,NA,0,NA,NA,1,1
0,271,242,14,0,154,2,400,0
0,132,108,NA,0,NA,NA,1,0
1,150,78,NA,0,NA,NA,1,0
0,160,116,10,0,65,2,1,0
0,148,126,40,0,47,2,400,0
0,NA,NA,NA,NA,NA,NA,NA,NA
0,324,265,13,0,65,3,400,0
0,341,100,6,1,6,1,400,0
0,81,56,NA,0,NA,NA,60,1
0,127,125,64,0,64,1,400,0
0,98,87,NA,0,NA,NA,1,0
1,195,14,14,0,14,1,1,0
0,300,235,NA,0,NA,NA,1,1
0,375,149,NA,1,NA,NA,1,0
0,289,151,NA,0,NA,NA,120,0
1,17,17,NA,0,NA,NA,1,0
0,335,112,82,0,82,1,30,0
1,378,NA,NA,0,NA,NA,NA,0
0,308,198,4,0,4,1,1,0
0,169,158,57,0,57,0,400,0
0,207,17,NA,0,NA,NA,1,1
0,277,57,NA,2,NA,NA,400,0
0,216,206,NA,0,NA,NA,1,0
1,278,168,34,0,90,1,400,0
1,329,318,53,0,67,0,400,0
0,252,94,NA,0,NA,NA,1,0
0,331,279,NA,0,NA,NA,1,0
0,302,129,NA,0,NA,NA,400,0
0,161,139,44,0,104,4,400,0
0,229,215,96,0,96,0,1,0
0,44,36,NA,2,NA,NA,400,0
1,171,151,NA,0,NA,NA,400,0
0,312,122,70,0,70,0,400,0
0,162,178,6,2,68,5,1,0
0,265,175,23,0,67,1,400,0
0,367,109,38,1,68,0,400,0
0,66,59,33,0,33,1,400,0
0,NA,NA,NA,NA,NA,NA,NA,NA
0,283,183,21,1,42,3,400,0
0,298,85,82,1,82,0,30,0
0,375,148,NA,0,NA,NA,1,0
0,376,126,75,0,108,1,1,0
0,10,NA,NA,0,NA,NA,NA,0
1,246,226,18,0,63,0,90,0
0,62,37,NA,0,NA,NA,120,0
1,82,76,NA,0,NA,NA,400,0
0,262,157,NA,0,NA,NA,30,0
1,226,144,18,1,45,1,400,0
0,59,41,11,0,11,1,1,0
0,183,NA,NA,0,NA,NA,NA,0
1,197,155,49,2,67,2,400,0
0,164,86,39,1,65,2,90,1
0,310,93,27,0,65,1,400,0
1,124,29,NA,0,NA,NA,1,0
0,152,138,NA,0,NA,NA,400,0
0,134,134,4,1,4,1,1,0
0,1,NA,NA,0,NA,NA,NA,0
0,58,21,16,0,16,1,1,0
1,357,110,48,0,48,1,60,1
0,62,15,15,0,15,0,400,0
0,375,NA,NA,0,NA,NA,NA,0
1,293,183,17,2,76,1,400,0
1,116,NA,NA,0,NA,NA,1,0
0,NA,8,NA,0,NA,NA,1,NA
1,212,159,33,1,90,2,400,0
0,351,325,21,1,84,3,30,0
0,128,NA,NA,0,NA,NA,NA,0
1,48,32,NA,5,NA,NA,400,0
1,12,NA,NA,0,NA,NA,NA,0
0,303,313,33,0,39,1,1,0
0,368,218,31,0,112,2,400,0
0,61,56,24,1,30,1,400,0
1,161,130,14,1,50,2,400,1
1,400,286,132,0,132,2,1,0
1,234,241,NA,0,NA,NA,400,0
0,300,135,4,0,64,7,60,0
1,258,218,NA,1,NA,NA,1,0
0,275,96,7,0,55,2,400,0
0,122,111,81,0,81,0,400,0
1,268,154,NA,2,NA,NA,60,0
1,130,130,24,0,80,2,400,0
0,351,331,20,0,69,2,400,0
0,300,160,109,0,109,0,400,0
0,252,94,6,0,50,1,1,0
0,4,NA,NA,NA,NA,NA,NA,0
0,261,128,30,0,49,0,400,0
0,260,177,61,0,61,0,400,0
0,177,173,NA,0,NA,NA,120,0
0,353,187,6,1,56,0,400,0
0,12,NA,NA,0,NA,NA,NA,0
0,NA,NA,NA,NA,NA,NA,NA,NA
1,288,226,47,0,93,0,120,0
0,173,164,58,0,58,0,400,0
0,378,NA,NA,NA,NA,NA,NA,0
1,88,89,14,0,43,1,30,0
1,379,488,28,4,58,1,1,0
0,296,290,NA,0,NA,NA,1,0
1,225,128,NA,0,NA,NA,1,1
0,341,127,90,0,106,1,400,0
1,188,149,11,1,63,3,60,0
1,336,256,41,0,91,1,1,0
0,224,134,134,1,134,1,1,0
0,236,184,51,0,70,0,400,0
0,233,117,114,1,116,1,1,0
1,375,NA,NA,0,NA,NA,NA,0
0,55,42,NA,0,NA,NA,400,0
0,126,82,NA,1,NA,NA,120,0
0,96,94,NA,1,NA,NA,30,0
1,329,NA,NA,0,NA,NA,NA,0
0,256,63,28,1,46,1,1,0
0,30,32,NA,0,NA,NA,1,0
1,359,92,NA,2,NA,NA,400,0
0,52,41,9,0,9,1,120,1
1,60,62,NA,2,NA,NA,1,0
0,119,120,114,0,114,0,400,0
0,219,217,22,1,86,2,400,0
1,212,157,82,0,111,5,1,0
0,376,149,62,0,87,3,1,0
0,75,NA,NA,0,NA,NA,NA,0
1,61,57,19,2,31,1,30,0
1,325,64,64,0,64,0,1,0
1,235,143,116,2,128,2,400,0
0,375,180,NA,0,NA,NA,1,0
0,73,NA,NA,NA,NA,NA,NA,1
0,155,90,NA,0,NA,NA,400,0
0,337,80,76,0,76,0,1,0
1,77,67,20,1,20,0,120,0
1,67,66,NA,0,NA,NA,400,0
1,162,129,10,0,10,1,400,0
0,42,16,NA,0,NA,NA,1,0
0,115,290,NA,0,NA,NA,1,0
1,146,112,NA,1,NA,NA,1,0
1,130,69,14,0,39,2,400,0
1,3,NA,NA,NA,NA,NA,NA,0
0,193,124,12,0,12,1,400,0
1,13,NA,NA,1,NA,NA,NA,0
0,267,111,111,0,111,1,1,0
1,116,95,NA,0,NA,NA,400,0
0,159,80,80,0,80,0,400,0
1,163,114,22,0,22,1,1,0
1,373,127,NA,0,NA,NA,400,0
1,77,NA,NA,0,NA,NA,NA,0
1,1,NA,NA,0,NA,NA,NA,1
1,146,45,45,0,45,0,400,0
1,297,108,48,0,48,0,400,0
1,193,9,9,0,9,1,1,0
0,246,161,4,0,80,6,400,0
1,213,225,45,3,91,2,90,1
1,106,NA,NA,0,NA,NA,NA,0
1,105,34,NA,1,NA,NA,1,0
0,42,4,NA,0,NA,NA,1,0
1,170,341,17,1,32,2,400,0
1,225,92,NA,0,NA,NA,1,0
1,144,49,NA,0,NA,NA,1,0
0,124,96,96,0,96,1,1,0
0,23,NA,NA,NA,NA,NA,NA,0
0,205,NA,NA,0,NA,NA,NA,0
0,NA,145,12,2,70,3,1,NA
1,305,304,NA,1,NA,NA,1,0
0,302,177,15,1,62,0,400,0
0,284,162,78,0,118,2,1,0
0,148,145,NA,0,NA,NA,1,0
0,29,30,NA,0,NA,NA,1,0
1,1,1,NA,0,NA,NA,1,0
0,130,130,NA,0,NA,NA,1,0
0,104,86,86,1,86,0,400,0
1,41,36,1,0,1,1,1,0
0,19,NA,NA,0,NA,NA,NA,0
0,NA,NA,NA,NA,NA,NA,NA,0
1,145,63,63,0,63,0,400,0
1,68,31,NA,0,NA,NA,400,0
0,373,245,NA,0,NA,NA,400,0
0,301,289,62,0,87,2,1,0
0,143,141,15,0,27,2,1,0
1,78,NA,NA,NA,NA,NA,NA,0
0,603,NA,NA,NA,NA,NA,NA,0
1,111,101,76,0,76,0,400,0
0,160,NA,NA,NA,NA,NA,NA,0
1,104,88,41,0,41,1,120,0
0,92,90,NA,0,NA,NA,1,0
0,374,176,13,0,95,2,1,0
0,24,25,NA,0,NA,NA,1,0
1,150,NA,NA,0,NA,NA,NA,0
1,265,226,87,1,87,0,400,0
0,328,55,NA,0,NA,NA,1,0
0,71,NA,NA,0,NA,NA,NA,0
0,408,323,7,0,76,3,1,0
0,24,NA,NA,NA,NA,NA,NA,0
0,342,NA,NA,0,NA,NA,NA,0
0,159,35,35,0,35,1,1,0
